Index,Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home,Simple Work Position Names,Search Term
0,Data Analyst,Playstudios International Europe,29-12-23,29-01-24,Bachelor,IT Analyst,Data Analyst,intermediate,"SQL, Python, R",Belgrade | Hybrid,TRUE,FALSE,FALSE,Data Analyst,Data Analyst
1,"Analyst, SAP Continuous Improvements",Magna Seating d.o.o.,16-01-24,16-02-24,Bachelor,ERP/SAP/ABAP Consultant,"Analyst, SAP Continuous Improvements",intermediate,SAP,Belgrade | Hybrid,FALSE,FALSE,FALSE,ERP/SAP/ABAP Consultant,FALSE
2,Cyber Threat Intelligence Analyst,Strabag BRVZ d.o.o.,27-12-23,27-01-24,Bachelor,Security Expert,Cyber Threat Intelligence Analyst,intermediate,Cloud,Belgrade,FALSE,FALSE,FALSE,Security Expert,FALSE
3,PHP Backend Developer,ch-aviation solutions d.o.o.,16-01-24,16-02-24,Bachelor,PHP Developer,PHP Backend Developer,intermediate,"PHP, SQL, Git",Belgrade | Hybrid,FALSE,FALSE,FALSE,PHP Developer,FALSE
4,Medior Analytics Engineer,Robert Bosch d.o.o.,17-01-24,02-02-24,Bachelor,Saradnik u oblasti analize,Medior Analytics Engineer,intermediate,"SQL, Python, MS SQL",Belgrade | Hybrid,FALSE,FALSE,FALSE,Data Engineer,Data Engineer
5,Senior Automation QA Engineer,Accordia Group,22-01-24,22-02-24,Bachelor,Automation QA Engineer,Senior Automation QA Engineer,senior,"SQL, Linux, Java, Git, QA, Windows, TeamCity",Belgrade,FALSE,FALSE,FALSE,Automation QA Engineer,FALSE
6,Data Analyst,Nitka Technologies,15-01-24,15-02-24,Bachelor,Saradnik u oblasti analize,Data Analyst,intermediate,N/A,Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
7,Data Analyst,Eneba,06-12-23,05-02-24,Bachelor,Saradnik u oblasti analize,Data Analyst,intermediate,"SQL, Python, R",Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
8,Data Analyst,Maids.cc,16-11-23,15-02-24,Bachelor,IT Analyst,Data Analyst,intermediate,"MySQL, SQL",Remote,FALSE,FALSE,TRUE,Data Analyst,Data Analyst
9,Data Analyst,Qwertify,21-09-23,19-02-24,Bachelor,IT Analyst,Data Analyst,intermediate,Python,Belgrade,TRUE,FALSE,FALSE,Data Analyst,Data Analyst
